ticker,country,sector,core_sheaf,core_graph,beta_mkt,wdegree,eigen_cent,mean|corr|
HON,US,Industrials,0.3476137477116027,8.905901736703956e-06,0.4083451969879299,3.826,0.3807,0.17317755107142982
LIN,US,Materials,0.32887944416132886,8.644745635663888e-06,0.5062121320106677,3.605,0.3455,0.2140080702802913
GS,US,Financials,0.3201035854962008,8.928746620879354e-06,0.6526412753646565,3.845,0.4255,0.19844135135127697
JNJ,US,Healthcare,0.28635410841152087,5.971337284447593e-06,0.23248415467354744,1.72,0.1206,0.13225496414083157
CAT,US,Industrials,0.2811033119190651,7.1007079225360314e-06,0.7266972779392462,2.432,0.2858,0.1935344709463224
JPM,US,Financials,0.2763367199352768,7.717493528327015e-06,0.5222973210735447,2.873,0.3611,0.1969567197401525
DUK,US,Utilities,0.27576273900116194,5.839936857016115e-06,0.23267541682830048,1.645,0.125,0.1225054105799436
AMZN,US,Consumer,0.24760484501913002,7.0533418033980055e-06,0.6948527287087838,2.4,0.2451,0.15383266330559445
MRK,US,Healthcare,0.24237511158923,5.333068149707055e-06,0.2900249918442027,1.372,0.1127,0.10521791518333903
XOM,US,Energy,0.23779251412812774,5.729816804482481e-06,0.49429556338995234,1.584,0.2095,0.1575514005566315
WMT,US,Consumer,0.23565831967867304,5.1992693437701696e-06,0.2746569941457974,1.304,0.1158,0.1112740977959688
NVDA,US,Tech,0.23558478468599653,6.488008202493109e-06,1.0246645306757254,2.03,0.2223,0.1521211706752386
META,US,Tech,0.2019279019802888,6.467498280397272e-06,0.8008994151646468,2.018,0.2186,0.1313364611517562
V,US,Financials,0.1634099874633523,7.002917943750073e-06,0.4617123545162989,2.365,0.2918,0.19136218525849727
SBER,RU,Financials,9.217675612559843e-16,0.3113311573602284,1.4695812993045103,6.308,0.3507,0.3210056202941519
ROSN,RU,Energy,8.456165926143314e-16,0.3650795111163797,1.6781239484053254,8.674,0.4328,0.3391355217718453
ALRS,RU,Materials,8.158184640374099e-16,0.2794385661890406,1.4551527703720926,5.082,0.2778,0.31258817075716316
MGNT,RU,Consumer,6.754873776599712e-16,0.3037941297526083,1.4368938356211354,6.007,0.3245,0.30522456581977936
YDEX,RU,Tech,6.660687061162197e-16,0.28897907947425905,1.6561565853973421,5.435,0.307,0.3106455126559938
OZON,RU,Consumer,6.245095118518417e-16,0.20451614147815295,1.8091179556886947,2.722,0.1928,0.2821279388131802
MDMG,RU,Healthcare,6.022081080172993e-16,0.18045256354382427,1.168891014087937,2.119,0.1538,0.2385401609974783
GAZP,RU,Energy,5.833081992521853e-16,0.20961722559725504,1.4322438165284568,2.86,0.184,0.26859554601878666
HYDR,RU,Utilities,5.806584037190174e-16,0.20196920848645897,1.0256307361485193,2.655,0.1726,0.2730202441588212
PLZL,RU,Materials,5.259065338957532e-16,0.12919904271218122,2.4992631109590135,1.086,0.0684,0.1147267090793125
GMKN,RU,Materials,5.25280179375523e-16,0.23908722829508966,1.2096026993038052,3.72,0.2022,0.2993201635846318
MOEX,RU,Financials,5.033626625805061e-16,0.22142621297249293,1.1071010101146173,3.191,0.2121,0.29026171408383106
FLOT,RU,Industrials,3.3052189466960804e-16,0.20672347664650317,1.398140236943204,2.781,0.182,0.26821684082336306
PHOR,RU,Materials,3.1743260106000856e-16,0.1777918046174488,0.9245872646335488,2.057,0.1432,0.21372015182527543
RTKM,RU,Telecom,2.342916048701648e-16,0.2572697193807644,1.139768699348636,4.308,0.2344,0.28832153522528803
LKOH,RU,Energy,2.0180522769779459e-16,0.2278016384961202,1.1888725738422627,3.377,0.2281,0.281304212830625
MTSS,RU,Telecom,1.9817711268992694e-16,0.20364862974372017,1.0784130899775919,2.699,0.1933,0.27915738485069613
